,X,Y,StationId,StationName,Jurisdiction,StationStatus,POINT_X,POINT_Y,NextRide,Address,Zipcode,city,street_address
0,-112.100759466,33.5673974970001,1,19th Avenue / Dunlap Avenue,Phoenix,In Operation,-112.0993888,33.56708951,18608,1935 W Dunlap Ave,85021,Phoenix,1923 W DUNLAP AVE
1,-111.830645946,33.4151070880001,35,Center Street / Main Street,Mesa,In Operation,-111.83066039,33.41509754,18602,26 East Main Street,85201,Globe,20 E MAIN ST
2,-112.099628966,33.552071294,2,19th Avenue / Northern Avenue,Phoenix,In Operation,-112.09935953,33.55318964,18607,7832 N 19th Ave,85021,Phoenix,7835 N 19TH AVE
3,-112.099700878,33.537384359,3,19th Avenue / Glendale Avenue,Phoenix,In Operation,-112.09932892,33.53864324,18606,6813 N 19th Ave,85015,Paradise Valley,6808 N 19TH AVE
4,-111.98798313700001,33.4481699240001,21,44th Street / Washington,Phoenix,In Operation,-111.98798314,33.44816993,10018,4203 East Washington Street,85034,Phoenix,4300 E WASHINGTON ST
5,-111.94662768200001,33.438063045,24,Center Parkway / Washington,Tempe,In Operation,-111.94662735,33.4380634,10020,702 West Washington Street,85281,Mesa,350 W WASHINGTON ST
6,-111.999886359,33.448102352,20,38th Street / Washington,Phoenix,In Operation,-111.99988636,33.44810237,10017,3763 East Washington Street,85034,Phoenix,3801 E WASHINGTON ST
7,-111.83907286700001,33.415120339000104,34,Country Club Drive / Main Street,Mesa,In Operation,-111.83903590000001,33.41511499,18601,300 West Main Street,85201,Globe,261 W MAIN ST
8,-111.855565488,33.414941114,33,Alma School Road / Main Street,Mesa,In Operation,-111.85554955,33.41493761,18600,1128 West Main Street,85201,Globe,1120 W MAIN ST
9,-111.95609006299999,33.442002941999995,23,Priest Drive / Washington,Tempe,In Operation,-111.95609026,33.44200283,10019,1166 West Washington Street,85281,Mesa,1158 W WASHINGTON ST
10,-112.07404814899999,33.459390464,14,Roosevelt / Central Avenue,Phoenix,In Operation,-112.07406165,33.45938818,10011,1004 North Central Avenue,85003,Phoenix,101 W PORTLAND ST
11,-112.07530859,33.508665401,7,Central Avenue / Camelback,Phoenix,In Operation,-112.0753075,33.50866627,10004,77 West Camelback Road,85013,Phoenix,42 W MARIPOSA ST
12,-112.09880709299999,33.509543066999996,5,19th Avenue / Camelback,Phoenix,In Operation,-112.09880709,33.50954307,10002,1855 West Camelback Road ,85015,Paradise Valley,5013 N 19TH AVE
13,-112.099731009,33.520591854,4,Montebello / 19th Ave,Phoenix,In Operation,-112.09973101,33.52059185,10001,5645 North 19th Ave,85015,Paradise Valley,5715 N 19TH AVE
14,-112.083336175,33.5093081690001,6,7th Avenue / Camelback,Phoenix,In Operation,-112.08333617,33.50930817,10003,705 West Camelback Road,85013,Phoenix,727 W CAMELBACK RD
15,-112.073787418,33.495754085,9,Indian School / Central Avenue,Phoenix,In Operation,-112.07378742,33.49575409,10006,4111 North Central Avenue,85012,Phoenix,4140 N CENTRAL AVE
16,-112.073785893,33.501409885,8,Campbell / Central Ave,Phoenix,In Operation,-112.07378589,33.50140989,10005,4411 North Central Avenue,85013,Phoenix,1 W CAMPBELL AVE
17,-112.073806873,33.4868613020001,10,Osborne / Central Avenue,Phoenix,In Operation,-112.07380687,33.4868613,10007,3335 North Central Avenue,85012,Phoenix,3300 N CENTRAL AVE
18,-111.916881325,33.4147603690001,27,Dorsey / Apache Boulevard,Tempe,In Operation,-111.91688132,33.41476037,10024,1402 East Apache Boulevard,85281,Mesa,1409 E APACHE BLVD
19,-111.90824004,33.4147258670001,29,McClintock / Apache Boulevard,Tempe,In Operation,-111.90824004,33.41472587,10025,1822 East Apache Boulevard,85281,Mesa,1811 E APACHE BLVD
20,-111.926903054,33.420758173,28,University Drive / Rural,Tempe,In Operation,-111.92690931,33.42076255,10023,840 South Rural Road,85281,Mesa,735 E UNIVERSITY DR
21,-111.940680046,33.4275021340001,25,Mill Avenue / Third Street,Tempe,In Operation,-111.94068005,33.4275021,10021,50 West 3rd Street,85281,Mesa,51 W 3RD ST
22,-112.073771584,33.4812274760001,11,Thomas / Central Avenue,Phoenix,In Operation,-112.07377158,33.48122748,10008,2903 North Central Avenue,85012,Phoenix,2901 N CENTRAL AVE
23,-112.07381505200001,33.473667056000096,12,Encanto / Central Avenue,Phoenix,In Operation,-112.07381505,33.47366706,10009,2325 North Central Avenue,85004,Phoenix,2302 N CENTRAL AVE
24,-112.07382072,33.464725236,13,McDowell / Central Avenue,Phoenix,In Operation,-112.07382072,33.46472524,10010,1502 North Central Avenue,85004,Phoenix,1500 N CENTRAL AVE
25,-111.935920525,33.4261258180001,26,Veterans Way / College Avenue,Tempe,In Operation,-111.9359264,33.42612828,10022,220 East 5th Street,85281,Mesa,120 E 5TH ST
26,-112.073927523,33.448875988000104,16,Washington / Central Avenue,Phoenix,In Operation,-112.07389472,33.44888009,10032,4 North Central Avenue,85004,Phoenix,28 N CENTRAL AVE
27,-112.073966655,33.451914417000104,15,Van Buren / Central Avenue,Phoenix,In Operation,-112.07392841,33.45191463,10033,304 North Central Avenue,85004,Phoenix,300 N CENTRAL AVE
28,-112.075053326,33.451925627,15,Van Buren / 1st Avenue,Phoenix,In Operation,-112.07509158,33.45192574,10012,303 North 1st Avenue,85004,Phoenix,300 N CENTRAL AVE
29,-111.87089124399999,33.4148508540001,32,Sycamore / Main Street,Mesa,In Operation,-111.87089124,33.41485085,10028,1830 West Main Street,85201,Globe,1833 W MAIN ST
30,-111.888086775,33.414813435,31,Price-101 Freeway / Apache Boulevard,Tempe,In Operation,-111.88808677,33.41481344,10027,2338 East Apache Boulevard,85281,Mesa,2323 E APACHE BLVD
31,-111.90076582799999,33.41478347,30,Smith-Martin / Apache Boulevard,Tempe,In Operation,-111.90076583,33.41478347,10026,1964 East Apache Boulevard,85281,Mesa,1966 E APACHE BLVD
32,-112.029288797,33.448191153,19,24th Street / Washington,Phoenix,In Operation,-112.02928853,33.44822322,10029,2411 East Washington Street,85034,Phoenix,1 S 24TH ST
33,-112.029282438,33.4472274300001,19,24th Street / Jefferson,Phoenix,In Operation,-112.02928117,33.44719506,10016,2416 East Jefferson St,85034,Phoenix,1 S 24TH ST
34,-112.05565940700001,33.4471994250001,18,12th Street / Jefferson,Phoenix,In Operation,-112.05565961,33.44722879,10015,1228 East Jefferson Street,85034,Phoenix,1212 E JEFFERSON ST
35,-112.073838706,33.459353693000004,14,Roosevelt / Central Avenue,Phoenix,In Operation,-112.07385086,33.45934915,10011,1004 North Central Avenue,85004,Phoenix,1021 N CENTRAL AVE
36,-112.070620606,33.4483506230001,17,3rd Street / Washington,Phoenix,In Operation,-112.07061854,33.44831856,10031,270 East Washington Street,85004,Phoenix,75 N 2ND ST
37,-112.057211636,33.44824902,18,12th Street / Washington,Phoenix,In Operation,-112.05721163,33.44821975,10030,1135 East Washington Street,85034,Phoenix,1141 E WASHINGTON ST
38,-112.06931129700001,33.446271677,17,3rd Street / Jefferson,Phoenix,In Operation,-112.06931138,33.44630408,10014,333 East Jefferson Street,85004,Phoenix,333 E JEFFERSON ST
39,-112.075239896,33.447774198000005,16,Jefferson / 1st Avenue,Phoenix,In Operation,-112.07520165,33.44777443,10013,70 South 1st Avenue,85003,Phoenix,1 W WASHINGTON ST
40,-111.82214432100001,33.4150636950001,36,Mesa Drive / Main Street,Mesa,In Operation,-111.82219142,33.41507829,18603,424 East Main Street,85203,Mesa,420 E MAIN ST
41,-111.974740932,33.446929757000106,22,50th St / Washington St ,Phoenix,In Operation,-111.97474093210501,33.446929756799605,18716,4835 East Washingtpm Street,85034,Phoenix,5001 E WASHINGTON ST
42,-111.80280184899999,33.415235861999996,37,Main St / Stapley Dr,Mesa,In Operation,-111.804935496426,33.415237802153804,18717,1310 East Main Street,85203,Mesa,1306 E MAIN ST
43,-111.79030625799999,33.415317304,38,Main St / Gilbert Rd,Mesa,In Operation,-111.78902598200001,33.4153756374575,18718,1864 East Main Street,85203,Mesa,1907 E MAIN ST
44,-112.100759466,33.5673974970001,1,19th Avenue / Dunlap Avenue,Phoenix,In Operation,-112.0993888,33.56708951,18608,1935 W Dunlap Ave,85021,Phoenix,1923 W DUNLAP AVE
45,-111.830645946,33.4151070880001,35,Center Street / Main Street,Mesa,In Operation,-111.83066039,33.41509754,18602,26 East Main Street,85201,Globe,20 E MAIN ST
46,-112.099628966,33.552071294,2,19th Avenue / Northern Avenue,Phoenix,In Operation,-112.09935953,33.55318964,18607,7832 N 19th Ave,85021,Phoenix,7835 N 19TH AVE
47,-112.099700878,33.537384359,3,19th Avenue / Glendale Avenue,Phoenix,In Operation,-112.09932892,33.53864324,18606,6813 N 19th Ave,85015,Paradise Valley,6808 N 19TH AVE
48,-111.98798313700001,33.4481699240001,21,44th Street / Washington,Phoenix,In Operation,-111.98798314,33.44816993,10018,4203 East Washington Street,85034,Phoenix,4300 E WASHINGTON ST
49,-111.94662768200001,33.438063045,24,Center Parkway / Washington,Tempe,In Operation,-111.94662735,33.4380634,10020,702 West Washington Street,85281,Mesa,350 W WASHINGTON ST
50,-111.999886359,33.448102352,20,38th Street / Washington,Phoenix,In Operation,-111.99988636,33.44810237,10017,3763 East Washington Street,85034,Phoenix,3801 E WASHINGTON ST
51,-111.83907286700001,33.415120339000104,34,Country Club Drive / Main Street,Mesa,In Operation,-111.83903590000001,33.41511499,18601,300 West Main Street,85201,Globe,261 W MAIN ST
52,-111.855565488,33.414941114,33,Alma School Road / Main Street,Mesa,In Operation,-111.85554955,33.41493761,18600,1128 West Main Street,85201,Globe,1120 W MAIN ST
53,-111.95609006299999,33.442002941999995,23,Priest Drive / Washington,Tempe,In Operation,-111.95609026,33.44200283,10019,1166 West Washington Street,85281,Mesa,1158 W WASHINGTON ST
54,-112.07404814899999,33.459390464,14,Roosevelt / Central Avenue,Phoenix,In Operation,-112.07406165,33.45938818,10011,1004 North Central Avenue,85003,Phoenix,101 W PORTLAND ST
55,-112.07530859,33.508665401,7,Central Avenue / Camelback,Phoenix,In Operation,-112.0753075,33.50866627,10004,77 West Camelback Road,85013,Phoenix,42 W MARIPOSA ST
56,-112.09880709299999,33.509543066999996,5,19th Avenue / Camelback,Phoenix,In Operation,-112.09880709,33.50954307,10002,1855 West Camelback Road ,85015,Paradise Valley,5013 N 19TH AVE
57,-112.099731009,33.520591854,4,Montebello / 19th Ave,Phoenix,In Operation,-112.09973101,33.52059185,10001,5645 North 19th Ave,85015,Paradise Valley,5715 N 19TH AVE
58,-112.083336175,33.5093081690001,6,7th Avenue / Camelback,Phoenix,In Operation,-112.08333617,33.50930817,10003,705 West Camelback Road,85013,Phoenix,727 W CAMELBACK RD
59,-112.073787418,33.495754085,9,Indian School / Central Avenue,Phoenix,In Operation,-112.07378742,33.49575409,10006,4111 North Central Avenue,85012,Phoenix,4140 N CENTRAL AVE
60,-112.073785893,33.501409885,8,Campbell / Central Ave,Phoenix,In Operation,-112.07378589,33.50140989,10005,4411 North Central Avenue,85013,Phoenix,1 W CAMPBELL AVE
61,-112.073806873,33.4868613020001,10,Osborne / Central Avenue,Phoenix,In Operation,-112.07380687,33.4868613,10007,3335 North Central Avenue,85012,Phoenix,3300 N CENTRAL AVE
62,-111.916881325,33.4147603690001,27,Dorsey / Apache Boulevard,Tempe,In Operation,-111.91688132,33.41476037,10024,1402 East Apache Boulevard,85281,Mesa,1409 E APACHE BLVD
63,-111.90824004,33.4147258670001,29,McClintock / Apache Boulevard,Tempe,In Operation,-111.90824004,33.41472587,10025,1822 East Apache Boulevard,85281,Mesa,1811 E APACHE BLVD
64,-111.926903054,33.420758173,28,University Drive / Rural,Tempe,In Operation,-111.92690931,33.42076255,10023,840 South Rural Road,85281,Mesa,735 E UNIVERSITY DR
65,-111.940680046,33.4275021340001,25,Mill Avenue / Third Street,Tempe,In Operation,-111.94068005,33.4275021,10021,50 West 3rd Street,85281,Mesa,51 W 3RD ST
66,-112.073771584,33.4812274760001,11,Thomas / Central Avenue,Phoenix,In Operation,-112.07377158,33.48122748,10008,2903 North Central Avenue,85012,Phoenix,2901 N CENTRAL AVE
67,-112.07381505200001,33.473667056000096,12,Encanto / Central Avenue,Phoenix,In Operation,-112.07381505,33.47366706,10009,2325 North Central Avenue,85004,Phoenix,2302 N CENTRAL AVE
68,-112.07382072,33.464725236,13,McDowell / Central Avenue,Phoenix,In Operation,-112.07382072,33.46472524,10010,1502 North Central Avenue,85004,Phoenix,1500 N CENTRAL AVE
69,-111.935920525,33.4261258180001,26,Veterans Way / College Avenue,Tempe,In Operation,-111.9359264,33.42612828,10022,220 East 5th Street,85281,Mesa,120 E 5TH ST
70,-112.073927523,33.448875988000104,16,Washington / Central Avenue,Phoenix,In Operation,-112.07389472,33.44888009,10032,4 North Central Avenue,85004,Phoenix,28 N CENTRAL AVE
71,-112.073966655,33.451914417000104,15,Van Buren / Central Avenue,Phoenix,In Operation,-112.07392841,33.45191463,10033,304 North Central Avenue,85004,Phoenix,300 N CENTRAL AVE
72,-112.075053326,33.451925627,15,Van Buren / 1st Avenue,Phoenix,In Operation,-112.07509158,33.45192574,10012,303 North 1st Avenue,85004,Phoenix,300 N CENTRAL AVE
73,-111.87089124399999,33.4148508540001,32,Sycamore / Main Street,Mesa,In Operation,-111.87089124,33.41485085,10028,1830 West Main Street,85201,Globe,1833 W MAIN ST
74,-111.888086775,33.414813435,31,Price-101 Freeway / Apache Boulevard,Tempe,In Operation,-111.88808677,33.41481344,10027,2338 East Apache Boulevard,85281,Mesa,2323 E APACHE BLVD
75,-111.90076582799999,33.41478347,30,Smith-Martin / Apache Boulevard,Tempe,In Operation,-111.90076583,33.41478347,10026,1964 East Apache Boulevard,85281,Mesa,1966 E APACHE BLVD
76,-112.029288797,33.448191153,19,24th Street / Washington,Phoenix,In Operation,-112.02928853,33.44822322,10029,2411 East Washington Street,85034,Phoenix,1 S 24TH ST
77,-112.029282438,33.4472274300001,19,24th Street / Jefferson,Phoenix,In Operation,-112.02928117,33.44719506,10016,2416 East Jefferson St,85034,Phoenix,1 S 24TH ST
78,-112.05565940700001,33.4471994250001,18,12th Street / Jefferson,Phoenix,In Operation,-112.05565961,33.44722879,10015,1228 East Jefferson Street,85034,Phoenix,1212 E JEFFERSON ST
79,-112.073838706,33.459353693000004,14,Roosevelt / Central Avenue,Phoenix,In Operation,-112.07385086,33.45934915,10011,1004 North Central Avenue,85004,Phoenix,1021 N CENTRAL AVE
80,-112.070620606,33.4483506230001,17,3rd Street / Washington,Phoenix,In Operation,-112.07061854,33.44831856,10031,270 East Washington Street,85004,Phoenix,75 N 2ND ST
81,-112.057211636,33.44824902,18,12th Street / Washington,Phoenix,In Operation,-112.05721163,33.44821975,10030,1135 East Washington Street,85034,Phoenix,1141 E WASHINGTON ST
82,-112.06931129700001,33.446271677,17,3rd Street / Jefferson,Phoenix,In Operation,-112.06931138,33.44630408,10014,333 East Jefferson Street,85004,Phoenix,333 E JEFFERSON ST
83,-112.075239896,33.447774198000005,16,Jefferson / 1st Avenue,Phoenix,In Operation,-112.07520165,33.44777443,10013,70 South 1st Avenue,85003,Phoenix,1 W WASHINGTON ST
84,-111.82214432100001,33.4150636950001,36,Mesa Drive / Main Street,Mesa,In Operation,-111.82219142,33.41507829,18603,424 East Main Street,85203,Mesa,420 E MAIN ST
85,-111.974740932,33.446929757000106,22,50th St / Washington St ,Phoenix,In Operation,-111.97474093210501,33.446929756799605,18716,4835 East Washingtpm Street,85034,Phoenix,5001 E WASHINGTON ST
86,-111.80280184899999,33.415235861999996,37,Main St / Stapley Dr,Mesa,In Operation,-111.804935496426,33.415237802153804,18717,1310 East Main Street,85203,Mesa,1306 E MAIN ST
87,-111.79030625799999,33.415317304,38,Main St / Gilbert Rd,Mesa,In Operation,-111.78902598200001,33.4153756374575,18718,1864 East Main Street,85203,Mesa,1907 E MAIN ST
